epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.53332,1.62743,4.92546,1.77205,0,0,0,0,2.71295,5.0387,2.3126,0,0,0
2,1.81986,2.10294,5.17672,2.34447,0,0,0,0,2.70838,5.0483,2.30815,1.16644e-06,1.16644e-06,1.16644e-06
3,2.12817,2.1678,5.15163,2.33113,0,0,0,0,2.71341,5.04993,2.31753,2.28575e-06,2.28575e-06,2.28575e-06
4,2.50416,1.93862,4.99635,2.04748,0,0,0,0,2.7005,5.05437,2.31994,3.35794e-06,3.35794e-06,3.35794e-06
5,2.9161,1.90965,5.08897,2.20559,0,0,0,0,2.68701,5.05689,2.30668,4.38301e-06,4.38301e-06,4.38301e-06
6,3.28959,2.35577,5.35203,2.42157,0,0,0,0,2.68383,5.06262,2.2805,5.36095e-06,5.36095e-06,5.36095e-06
7,3.66603,1.75843,5.14794,2.04406,0,0,0,0,2.68468,5.06466,2.2955,6.29177e-06,6.29177e-06,6.29177e-06
8,4.03272,1.97732,5.04501,2.29472,0,0,0,0,2.69411,5.06515,2.30861,7.17546e-06,7.17546e-06,7.17546e-06
9,4.39203,2.15254,5.29827,2.12804,0,0,0,0,2.69411,5.06515,2.30861,8.01203e-06,8.01203e-06,8.01203e-06
10,4.78949,1.64435,4.95856,1.86878,0,0,0,0,2.71801,5.06708,2.32518,8.80148e-06,8.80148e-06,8.80148e-06
11,5.16402,2.13509,5.25661,2.35943,0,0,0,0,2.71801,5.06708,2.32518,9.5438e-06,9.5438e-06,9.5438e-06
12,5.53828,2.08118,5.04395,2.15581,0,0,0,0,2.72381,5.06895,2.36887,1.0239e-05,1.0239e-05,1.0239e-05
13,5.8996,2.03239,5.00036,2.23964,0,0,0,0,2.72381,5.06895,2.36887,1.08871e-05,1.08871e-05,1.08871e-05
14,6.28231,2.13459,5.12408,2.14771,0,0,0,0,2.6996,5.06556,2.35628,1.1488e-05,1.1488e-05,1.1488e-05
15,6.64798,2.27519,5.21224,2.2874,0,0,0,0,2.6996,5.06556,2.35628,1.20418e-05,1.20418e-05,1.20418e-05
16,7.03573,1.85793,5.03203,2.07478,0,0,0,0,2.69333,5.06792,2.35484,1.25486e-05,1.25486e-05,1.25486e-05
17,7.42113,1.50608,4.89685,1.84883,0,0,0,0,2.69333,5.06792,2.35484,1.30081e-05,1.30081e-05,1.30081e-05
18,7.80909,1.88811,5.12243,2.17073,0,0,0,0,2.67089,5.06436,2.34659,1.34206e-05,1.34206e-05,1.34206e-05
19,8.17975,1.4731,4.90553,1.81757,0,0,0,0,2.67089,5.06436,2.34659,1.37859e-05,1.37859e-05,1.37859e-05
20,8.58978,2.19074,5.35533,2.29678,0,0,0,0,2.66996,5.05459,2.35634,1.41041e-05,1.41041e-05,1.41041e-05
21,8.96084,1.83489,5.00759,2.09679,0,0,0,0,2.66996,5.05459,2.35634,1.43752e-05,1.43752e-05,1.43752e-05
22,9.35674,1.92355,5.0489,2.21599,0,0,0,0,2.66534,5.05911,2.35797,1.45992e-05,1.45992e-05,1.45992e-05
23,9.7176,1.54262,5.02177,1.91251,0,0,0,0,2.66534,5.05911,2.35797,1.4776e-05,1.4776e-05,1.4776e-05
24,10.0723,1.58463,4.98094,1.78266,0,0,0,0,2.66534,5.05911,2.35797,1.49057e-05,1.49057e-05,1.49057e-05
25,10.4509,1.77024,4.98787,1.92541,0,0,0,0,2.68039,5.06748,2.35644,1.49883e-05,1.49883e-05,1.49883e-05
26,10.8043,1.86763,5.05354,1.91883,0,0,0,0,2.68039,5.06748,2.35644,1.50238e-05,1.50238e-05,1.50238e-05
27,11.1575,1.80704,4.9516,1.9077,0,0,0,0,2.68039,5.06748,2.35644,1.50121e-05,1.50121e-05,1.50121e-05
28,11.5329,2.0912,5.19523,2.05659,0,0,0,0,2.66903,5.0803,2.34671,1.49533e-05,1.49533e-05,1.49533e-05
29,11.8927,1.83936,4.98032,2.14327,0,0,0,0,2.66903,5.0803,2.34671,1.48474e-05,1.48474e-05,1.48474e-05
30,12.2886,1.15285,4.78408,1.6119,0,0,0,0,2.66903,5.0803,2.34671,1.46944e-05,1.46944e-05,1.46944e-05
31,12.676,1.95204,5.16434,2.19942,0,0,0,0,2.68061,5.086,2.36122,1.44942e-05,1.44942e-05,1.44942e-05
32,13.0395,1.53334,4.95787,1.97396,0,0,0,0,2.68061,5.086,2.36122,1.42469e-05,1.42469e-05,1.42469e-05
33,13.4233,1.64954,5.00138,1.92983,0,0,0,0,2.68061,5.086,2.36122,1.39525e-05,1.39525e-05,1.39525e-05
34,13.8047,2.03601,5.13244,2.11109,0,0,0,0,2.67971,5.08296,2.37417,1.3611e-05,1.3611e-05,1.3611e-05
35,14.1736,1.53794,4.9826,1.78673,0,0,0,0,2.67971,5.08296,2.37417,1.32223e-05,1.32223e-05,1.32223e-05
36,14.544,1.74756,4.87369,2.01058,0,0,0,0,2.67971,5.08296,2.37417,1.27866e-05,1.27866e-05,1.27866e-05
37,14.9112,1.45025,4.8844,1.90592,0,0,0,0,2.67971,5.08296,2.37417,1.23036e-05,1.23036e-05,1.23036e-05
38,15.3108,2.02628,4.91926,2.03568,0,0,0,0,2.66909,5.07653,2.39116,1.17736e-05,1.17736e-05,1.17736e-05
39,15.6638,1.46803,4.887,1.63981,0,0,0,0,2.66909,5.07653,2.39116,1.11965e-05,1.11965e-05,1.11965e-05
40,16.0204,1.75719,5.1719,1.92356,0,0,0,0,2.66909,5.07653,2.39116,1.05722e-05,1.05722e-05,1.05722e-05
41,19.7437,1.77303,5.50996,2.05639,0,0,0,0,2.66909,5.07653,2.39116,9.9008e-06,9.9008e-06,9.9008e-06
42,20.1683,1.93915,5.25163,2.41846,0,0,0,0,2.66552,5.08727,2.3962,9.18228e-06,9.18228e-06,9.18228e-06
43,20.5634,2.13775,5.4612,2.13113,0,0,0,0,2.66552,5.08727,2.3962,8.41663e-06,8.41663e-06,8.41663e-06
44,20.9267,2.02967,5.25088,2.2181,0,0,0,0,2.66552,5.08727,2.3962,7.60386e-06,7.60386e-06,7.60386e-06
45,21.298,1.68467,5.25027,1.96391,0,0,0,0,2.66552,5.08727,2.3962,6.74397e-06,6.74397e-06,6.74397e-06
46,21.6893,1.87808,5.24,2.36114,0,0,0,0,2.66653,5.07825,2.38668,5.83695e-06,5.83695e-06,5.83695e-06
47,22.0477,1.84858,5.40762,2.12593,0,0,0,0,2.66653,5.07825,2.38668,4.88281e-06,4.88281e-06,4.88281e-06
48,22.4106,1.82374,5.46859,1.93184,0,0,0,0,2.66653,5.07825,2.38668,3.88154e-06,3.88154e-06,3.88154e-06
49,22.7649,1.97347,5.29303,2.30092,0,0,0,0,2.66653,5.07825,2.38668,2.83315e-06,2.83315e-06,2.83315e-06
50,23.1413,2.17818,5.33367,2.3213,0,0,0,0,2.67173,5.06637,2.40151,1.73764e-06,1.73764e-06,1.73764e-06
