epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4388,1.87703,5.94249,0.00892,0.46725,0.38304,0.33969,0.17828,1.73661,2.13669,0.01312,0.000302457,0.000302457,0.000302457
2,210.827,1.87457,3.52101,0.00924,0.53655,0.41228,0.4109,0.20396,1.82966,1.91974,0.01385,0.000575487,0.000575487,0.000575487
3,360.899,1.90012,2.46961,0.00928,0.59166,0.44622,0.4906,0.24254,1.80768,1.62369,0.01352,0.00081852,0.00081852,0.00081852
4,510.918,1.89983,2.02739,0.00924,0.57382,0.49973,0.48783,0.24955,1.82298,1.6175,0.01365,0.000774013,0.000774013,0.000774013
5,659.091,1.90827,1.8443,0.00939,0.68437,0.49544,0.54087,0.26873,1.844,1.49878,0.01375,0.000729018,0.000729018,0.000729018
6,760.62,1.89288,1.72746,0.00929,0.65749,0.51369,0.61476,0.32551,1.78207,1.40247,0.01325,0.000684022,0.000684022,0.000684022
7,869.076,1.86613,1.63731,0.00915,0.71333,0.51631,0.63631,0.32633,1.80647,1.34729,0.01336,0.000639027,0.000639027,0.000639027
8,1016.12,1.86788,1.55329,0.00909,0.63916,0.62251,0.66656,0.35138,1.794,1.29157,0.01335,0.000594031,0.000594031,0.000594031
9,1163.86,1.85312,1.49967,0.0088,0.5542,0.71281,0.69564,0.35742,1.79309,1.23493,0.01303,0.000549036,0.000549036,0.000549036
10,1308.17,1.84056,1.45569,0.00879,0.74094,0.62315,0.71467,0.36445,1.77623,1.1743,0.01278,0.00050404,0.00050404,0.00050404
11,1472.76,1.84733,1.30642,0.01022,0.67042,0.62243,0.70499,0.3652,1.77618,1.1646,0.01314,0.000459045,0.000459045,0.000459045
12,1607.68,1.83262,1.23898,0.01,0.71213,0.58066,0.72354,0.37881,1.75931,1.11936,0.01286,0.000414049,0.000414049,0.000414049
13,1716.69,1.82238,1.21884,0.00971,0.71216,0.6669,0.73293,0.37936,1.79548,1.09179,0.01326,0.000369054,0.000369054,0.000369054
14,1855.28,1.81391,1.16591,0.0097,0.75818,0.63956,0.76214,0.40513,1.77118,1.09136,0.01269,0.000324058,0.000324058,0.000324058
15,2002.38,1.79674,1.12978,0.00953,0.72539,0.67858,0.77076,0.41508,1.74694,1.03362,0.01234,0.000279063,0.000279063,0.000279063
16,2148.5,1.77937,1.09868,0.00941,0.72911,0.7011,0.77195,0.42841,1.71743,1.02635,0.0123,0.000234068,0.000234068,0.000234068
17,2293.77,1.75723,1.05896,0.0092,0.7697,0.68946,0.78487,0.43705,1.68413,1.02416,0.01218,0.000189072,0.000189072,0.000189072
18,2440.59,1.75277,1.02601,0.00918,0.8011,0.69188,0.78877,0.44373,1.69823,0.98438,0.012,0.000144077,0.000144077,0.000144077
19,2585.55,1.72957,1.01342,0.00896,0.78399,0.69568,0.79577,0.44672,1.71274,0.98589,0.01205,9.9081e-05,9.9081e-05,9.9081e-05
20,2668.08,1.72924,1.01032,0.00888,0.7605,0.72113,0.79676,0.4512,1.69319,0.96123,0.01191,5.40855e-05,5.40855e-05,5.40855e-05
