epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.806,1.94214,2.87358,1.36428,0.63132,0.43785,0.46623,0.22022,1.9103,1.83989,1.3986,0.000302457,0.000302457,0.000302457
2,158.89,1.87948,2.08516,1.36615,0.64231,0.48541,0.50067,0.24266,1.84017,1.5466,1.36243,0.000485577,0.000485577,0.000485577
3,218.748,1.87423,1.83362,1.36216,0.61796,0.55036,0.56167,0.26937,1.7943,1.42639,1.3431,0.000548708,0.000548708,0.000548708
4,279.743,1.81792,1.59919,1.32808,0.67776,0.55951,0.60956,0.29902,1.7947,1.33016,1.35338,0.000369054,0.000369054,0.000369054
5,340.761,1.79174,1.44316,1.31478,0.69692,0.60829,0.65584,0.34638,1.73344,1.22187,1.30395,0.000189072,0.000189072,0.000189072
