epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.468,1.78713,1.26845,0.00846,0.6674,0.70553,0.74981,0.40303,1.74742,1.05276,0.0125,0.000302457,0.000302457,0.000302457
2,313.083,1.80851,1.31204,0.00879,0.70509,0.68967,0.73883,0.38263,1.80581,1.15877,0.01335,0.000575487,0.000575487,0.000575487
3,461.986,1.83739,1.36502,0.0088,0.7592,0.53568,0.70054,0.36208,1.81991,1.22392,0.01359,0.00081852,0.00081852,0.00081852
4,554.994,1.83887,1.33256,0.00882,0.65262,0.73253,0.74037,0.38674,1.81107,1.15275,0.01371,0.000774013,0.000774013,0.000774013
5,635.011,1.84127,1.33343,0.00892,0.75505,0.65798,0.72172,0.36619,1.84315,1.19069,0.01358,0.000729018,0.000729018,0.000729018
6,715.137,1.83593,1.29637,0.00883,0.72434,0.69551,0.76674,0.39663,1.81835,1.10913,0.01322,0.000684022,0.000684022,0.000684022
7,795.904,1.80003,1.26606,0.00863,0.72972,0.68883,0.75475,0.3933,1.80296,1.10295,0.01315,0.000639027,0.000639027,0.000639027
8,877.316,1.80684,1.22887,0.00863,0.75057,0.70061,0.76776,0.40306,1.77529,1.05224,0.01296,0.000594031,0.000594031,0.000594031
9,958.699,1.77886,1.23041,0.0083,0.75528,0.67313,0.76188,0.40263,1.7764,1.05125,0.01302,0.000549036,0.000549036,0.000549036
10,1039.92,1.7809,1.19451,0.00836,0.79468,0.68812,0.79656,0.42678,1.77231,1.02961,0.01286,0.00050404,0.00050404,0.00050404
11,1135.07,1.78595,1.03077,0.00961,0.80167,0.68281,0.78815,0.43095,1.74297,1.01418,0.0125,0.000459045,0.000459045,0.000459045
12,1272.85,1.76574,1.00737,0.00947,0.77363,0.67095,0.78203,0.42867,1.75145,0.99952,0.01287,0.000414049,0.000414049,0.000414049
13,1355.85,1.7586,0.98901,0.00918,0.77813,0.73953,0.80908,0.42651,1.75332,1.01862,0.01268,0.000369054,0.000369054,0.000369054
14,1437.77,1.74394,0.95482,0.00909,0.73324,0.76879,0.8037,0.43918,1.75273,0.97493,0.01258,0.000324058,0.000324058,0.000324058
15,1518.94,1.73702,0.92507,0.009,0.77189,0.75485,0.81261,0.44295,1.742,0.96838,0.0123,0.000279063,0.000279063,0.000279063
16,1600.79,1.71409,0.91096,0.00893,0.76302,0.7595,0.81512,0.44801,1.73443,0.943,0.01232,0.000234068,0.000234068,0.000234068
17,1682.19,1.70136,0.88744,0.00873,0.78782,0.75715,0.83108,0.4681,1.7204,0.93744,0.01216,0.000189072,0.000189072,0.000189072
18,1764.35,1.68719,0.8631,0.00864,0.77897,0.75664,0.82738,0.46669,1.69065,0.92055,0.01184,0.000144077,0.000144077,0.000144077
19,1845.42,1.67772,0.86023,0.00853,0.78706,0.73653,0.82707,0.46973,1.70004,0.93505,0.01188,9.9081e-05,9.9081e-05,9.9081e-05
20,1928.82,1.6735,0.86287,0.00848,0.77026,0.75963,0.83557,0.47502,1.68525,0.9234,0.01171,5.40855e-05,5.40855e-05,5.40855e-05
