epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.571,1.66062,0.96662,0.00756,0.78255,0.77571,0.83795,0.47025,1.72078,0.93471,0.01225,0.000302457,0.000302457,0.000302457
2,221.071,1.6707,0.95725,0.00777,0.80925,0.73722,0.80537,0.432,1.75858,0.96537,0.01255,0.000575487,0.000575487,0.000575487
3,306.27,1.70812,1.02832,0.00786,0.72391,0.74365,0.79084,0.42038,1.8343,1.05078,0.01318,0.00081852,0.00081852,0.00081852
4,390.262,1.7247,1.03157,0.00803,0.71337,0.73459,0.7785,0.42153,1.7819,0.9814,0.01305,0.000774013,0.000774013,0.000774013
5,473.581,1.72729,1.03288,0.00809,0.79747,0.75314,0.81714,0.43789,1.77859,0.98886,0.01272,0.000729018,0.000729018,0.000729018
6,558.325,1.7145,1.02329,0.00799,0.83278,0.72473,0.81172,0.43857,1.78363,0.96423,0.01281,0.000684022,0.000684022,0.000684022
7,643.621,1.6948,0.99453,0.00787,0.80497,0.72949,0.80105,0.4334,1.74643,0.99247,0.01254,0.000639027,0.000639027,0.000639027
8,728.306,1.70038,0.9954,0.00787,0.76763,0.76812,0.81998,0.43192,1.78381,0.99968,0.01301,0.000594031,0.000594031,0.000594031
9,815.826,1.68157,0.98104,0.0076,0.77809,0.80103,0.82822,0.44201,1.75987,0.92156,0.01261,0.000549036,0.000549036,0.000549036
10,905.039,1.67581,0.97261,0.00766,0.79132,0.7817,0.83415,0.46514,1.7388,0.90983,0.01229,0.00050404,0.00050404,0.00050404
11,1002.1,1.65789,0.81909,0.00865,0.77478,0.75025,0.82232,0.45787,1.73189,0.90111,0.01224,0.000459045,0.000459045,0.000459045
