epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.2562,1.56304,0.90285,1.21822,0.78547,0.79433,0.85627,0.4763,1.64518,0.89007,1.28793,0.000302457,0.000302457,0.000302457
2,143.392,1.5992,0.95241,1.24153,0.81152,0.78757,0.84186,0.43868,1.69708,0.93763,1.32202,0.000593469,0.000593469,0.000593469
3,223.977,1.64361,1.00798,1.25572,0.77039,0.72051,0.77924,0.41142,1.70621,0.9851,1.32286,0.000872482,0.000872482,0.000872482
4,304.044,1.63806,1.02333,1.2581,0.72719,0.72699,0.78094,0.42034,1.71053,1.04217,1.33414,0.000855005,0.000855005,0.000855005
5,383.189,1.66215,1.03852,1.27151,0.74785,0.72766,0.78828,0.40975,1.74572,1.04563,1.35085,0.000837007,0.000837007,0.000837007
6,465.694,1.6507,1.02442,1.266,0.75322,0.74712,0.79959,0.4285,1.71039,0.96522,1.33199,0.000819009,0.000819009,0.000819009
7,547.337,1.63127,1.00965,1.25915,0.74494,0.78772,0.82799,0.4385,1.72335,0.97452,1.32826,0.000801011,0.000801011,0.000801011
8,629.491,1.63589,0.99727,1.25802,0.73676,0.74568,0.79317,0.41078,1.72686,1.02531,1.34673,0.000783013,0.000783013,0.000783013
9,711.811,1.62656,0.9913,1.24696,0.79391,0.75029,0.82185,0.44169,1.68833,0.95813,1.32508,0.000765014,0.000765014,0.000765014
10,794.632,1.6214,0.98527,1.24597,0.75667,0.76036,0.82293,0.45154,1.68068,0.93396,1.31407,0.000747016,0.000747016,0.000747016
11,872.386,1.6408,0.9897,1.26108,0.78053,0.75795,0.82724,0.42815,1.69886,0.92897,1.31353,0.000729018,0.000729018,0.000729018
