epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5314,1.94214,2.87358,1.36428,0.63132,0.43785,0.46623,0.22022,1.9103,1.83989,1.3986,0.000302457,0.000302457,0.000302457
2,169.036,1.89227,2.09895,1.38623,0.62339,0.50659,0.49253,0.23225,1.85224,1.55768,1.38342,0.000575487,0.000575487,0.000575487
3,255.228,1.90447,1.8817,1.39286,0.55727,0.53198,0.50692,0.24447,1.83827,1.59272,1.39585,0.00081852,0.00081852,0.00081852
4,340.38,1.88164,1.69419,1.37779,0.64953,0.49551,0.54359,0.26526,1.83638,1.47512,1.39564,0.000774013,0.000774013,0.000774013
5,420.84,1.87896,1.57019,1.38699,0.63768,0.55894,0.58483,0.29429,1.83783,1.35753,1.37711,0.000729018,0.000729018,0.000729018
6,508.523,1.84294,1.48065,1.36457,0.82353,0.49254,0.61433,0.309,1.81561,1.31169,1.38028,0.000684022,0.000684022,0.000684022
7,596.521,1.81738,1.4355,1.35551,0.7609,0.55617,0.67735,0.34925,1.79264,1.27598,1.35177,0.000639027,0.000639027,0.000639027
8,677.983,1.80666,1.37955,1.34541,0.67999,0.58128,0.66468,0.33748,1.78871,1.24401,1.35387,0.000594031,0.000594031,0.000594031
9,764.636,1.78681,1.32386,1.32526,0.74696,0.59988,0.69776,0.36617,1.77759,1.18776,1.34874,0.000549036,0.000549036,0.000549036
10,845.979,1.76506,1.28578,1.31677,0.65089,0.7514,0.7662,0.39442,1.74585,1.16457,1.33359,0.00050404,0.00050404,0.00050404
11,945.437,1.78631,1.22832,1.34851,0.6967,0.67393,0.74451,0.37936,1.73615,1.11749,1.32443,0.000459045,0.000459045,0.000459045
12,1026.72,1.77391,1.18325,1.34433,0.70131,0.65876,0.71791,0.36539,1.7415,1.10366,1.33893,0.000414049,0.000414049,0.000414049
13,1107.93,1.77137,1.14322,1.33608,0.68493,0.70167,0.71834,0.37425,1.73375,1.09217,1.34823,0.000369054,0.000369054,0.000369054
14,1189.05,1.74174,1.10752,1.33091,0.66525,0.70575,0.73644,0.39059,1.72192,1.08355,1.32719,0.000324058,0.000324058,0.000324058
15,1265.41,1.72293,1.06056,1.31707,0.7155,0.71368,0.73777,0.39772,1.71195,1.04591,1.31097,0.000279063,0.000279063,0.000279063
16,1346.42,1.72541,1.04587,1.30936,0.72264,0.75454,0.79031,0.41161,1.70267,1.01067,1.30771,0.000234068,0.000234068,0.000234068
17,1428.45,1.69971,1.00907,1.29305,0.69442,0.77833,0.81213,0.42626,1.66789,0.98618,1.28006,0.000189072,0.000189072,0.000189072
18,1510.58,1.68241,0.98874,1.28533,0.7847,0.75858,0.81367,0.43954,1.66563,0.95095,1.28947,0.000144077,0.000144077,0.000144077
19,1592.45,1.66416,0.9629,1.27654,0.78224,0.73078,0.8191,0.44182,1.66241,0.94542,1.28445,9.9081e-05,9.9081e-05,9.9081e-05
20,1670.95,1.64434,0.93691,1.26413,0.78035,0.77721,0.83844,0.44982,1.66015,0.9209,1.28041,5.40855e-05,5.40855e-05,5.40855e-05
